Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,106.92,-92.1,0.0,top
C10,22uF,C_1206_3216Metric,139.7,-82.7,-90.0,top
C11,100nF,C_0402_1005Metric,137.9,-81.72,-90.0,top
C12,22uF,C_1206_3216Metric,135.05,-85.66,90.0,top
C13,100nF,C_0402_1005Metric,151.76,-93.87,-90.0,top
C14,1u,C_0402_1005Metric,151.775,-90.375,0.0,top
C15,100nF,C_0402_1005Metric,152.69,-94.795,90.0,top
C16,1uF,C_0603_1608Metric,130.35,-88.5,180.0,top
C17,100nF,C_0402_1005Metric,149.978494,-81.2,0.0,top
C18,1uF,C_0603_1608Metric,132.9,-95.275,90.0,top
C19,1uF,C_0402_1005Metric,123.0,-87.51,90.0,top
C2,100nF,C_0402_1005Metric,110.0,-93.6,0.0,top
C20,100nF,C_0402_1005Metric,122.32,-83.01,-90.0,top
C21,1uF,C_0402_1005Metric,121.24,-88.965,0.0,top
C22,1nF,C_0402_1005Metric,124.375,-91.3,-90.0,top
C23,100nf,C_0402_1005Metric,120.875,-92.775,90.0,top
C24,22u,C_1206_3216Metric,137.36,-85.66,90.0,top
C25,100nF,C_0402_1005Metric,133.425,-84.65,90.0,top
C26,100uf_35V,CP_Elec_6.3x7.7,158.325,-83.675,0.0,top
C27,10uF,C_1206_3216Metric,150.06,-85.4,180.0,top
C28,10uF,C_1206_3216Metric,152.1,-82.2,90.0,top
C3,100nF,C_0402_1005Metric,136.16,-91.85,180.0,top
C4,10uF,C_0603_1608Metric,129.975,-84.975,-90.0,top
C6,4.7uF,C_0402_1005Metric,123.39,-83.0,90.0,top
C7,10uF,C_1206_3216Metric,153.75,-87.05,90.0,top
C8,22nF,C_0402_1005Metric,126.2,-91.92,0.0,top
D1,Power LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,111.375,-95.925,0.0,top
D2,Failure LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,135.3,-96.1,0.0,top
D3,TPD4E05U06DQAR,IC_TPD4E05U06DQAR,153.1825,-92.375,180.0,top
D4,Status LED,LED_0603_1608Metric,145.3,-96.1,180.0,top
D5,PMEG6020ER,D_SOD-123F,131.8,-85.575,90.0,top
D6,PMEG6020ER,D_SOD-123F,116.075,-89.55,90.0,top
D7,PMEG6020ER,D_SOD-123F,145.65,-85.5,180.0,top
IC1,TPS16630RGER,QFN50P400X400X100-25N,129.75,-92.7,-90.0,top
IC2,TPS22992SRXNR,TPS22992SRXNR,122.7,-90.575,-90.0,top
J1,USB_C_USB2.0_16P,USB_C_Receptacle_XKB_U262-16XN-4BVC11,158.285,-91.86,90.0,top
J6,QWIIC,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,103.0,-93.0,-90.0,top
L1,3.3u,L_Changjiang_FXL0420,143.7,-82.15,180.0,top
Q1,2N7002DW-TP,SOT-363_SC-70-6,133.76,-91.98,-90.0,top
R1,10k,R_0402_1005Metric,108.68,-83.63,0.0,top
R10,10k,R_0402_1005Metric,113.725,-93.415,90.0,top
R11,470Ω,R_0402_1005Metric,113.95,-96.05,0.0,top
R12,10k,R_0402_1005Metric,110.01,-94.55,180.0,top
R13,10k,R_0402_1005Metric,137.19,-90.825,180.0,top
R14,5.1k,R_0402_1005Metric,153.615,-90.375,180.0,top
R15,5.1k,R_0402_1005Metric,154.24,-95.535,-90.0,top
R16,10k,R_0402_1005Metric,147.978494,-82.41,-90.0,top
R17,5m,R_1206_3216Metric,150.0375,-87.725,180.0,top
R18,52.3k,R_0402_1005Metric,146.978494,-83.11,90.0,top
R19,1k,R_0402_1005Metric,144.24,-94.4,-90.0,top
R2,10k,R_0402_1005Metric,107.25,-84.84,-90.0,top
R20,27R,R_0402_1005Metric,142.1,-89.325,180.0,top
R21,330k,R_0402_1005Metric,128.1,-89.6,0.0,top
R22,150k,R_0402_1005Metric,126.66,-90.52,90.0,top
R23,20k,R_0402_1005Metric,125.69,-90.52,-90.0,top
R24,10k,R_0402_1005Metric,127.05,-94.89,180.0,top
R25,10k,R_0402_1005Metric,137.68,-94.89,0.0,top
R26,10k,R_0402_1005Metric,112.425,-94.125,90.0,top
R27,22k,R_0402_1005Metric,142.7,-95.8,-90.0,top
R28,10k,R_0402_1005Metric,124.0,-87.5,90.0,top
R29,10k,R_0402_1005Metric,120.89,-83.44,180.0,top
R3,10k,R_0402_1005Metric,116.11,-92.275,180.0,top
R30,10k,R_0402_1005Metric,124.33,-89.51,90.0,top
R31,10k,R_0402_1005Metric,121.1,-90.6,90.0,top
R32,10k,R_0402_1005Metric,113.965,-95.025,0.0,top
R33,R_Shunt,L_1206_3216Metric_Pad1.42x1.75mm_HandSolder,123.82,-94.6,-90.0,top
R34,10k,R_0402_1005Metric,141.17,-96.36,0.0,top
