Comment,Designator,Footprint,LCSC,Quantity
17.8kΩ,R18,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C129766,1
10uF,"C11,C9",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C194427,2
Green Power LED,D8,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C205450,1
AO3400A,Q9,SOT-23,C20917,1
150Ω,R22,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25082,1
220Ω,R25,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25091,1
100kΩ,R29,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25741,1
10kΩ,"R12,R15,R31",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744,3
13.7kΩ,R27,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25854,1
49.9kΩ,R14,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25897,1
5.1kΩ,R13,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25905,1
NCP1117-3.3_SOT223,U2,SOT-223-3_TabPin2,C26537,1
USB_C_Receptacle_USB2.0_14P,J9,USB_C_Receptacle_XKB_U262-16XN-4BVC11,C2988369,1
31.6 kΩ,R26,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C2998091,1
1uF,"C12,C3,C4,C5,C6",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C307413,5
100nF,C10,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C343047,1
AONR21357,Q2,TRANS_AONR21307,C431196,1
TPS2121,U1,IC_TPS2121RUXR,C485916,1
USBLC6,U4,SOT-23-6,C5180249,1
5kΩ,"R28,R30",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C5948099,2
SW_DIP_x05,SW1,SW_DIP_SPSTx05_Slide_6.7x14.26mm_W8.61mm_P2.54mm_LowProfile,C7471375,1
HUSB238_USB_PD,U3,DFN-10-1EP_3x3mm_P0.5mm_EP1.55x2.48mm,C7471904,1
Red Failure LED,D7,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C965799,1
6.04kΩ,R16,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C97819,1
